Ancient pop	Sex	Age	Country	Lat	Long	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z	total
Czech EBA Unetice son.MIB038.brother.MIB045.father.MIB039	M	3781	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Czech EMBA	F	3975	Czech Republic	50.400094	13.42304	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech IA Hallstatt	F	2625	Czech Republic	50.291389	14.045556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Czech IA Hallstatt lc	M	2625	Czech Republic	50.336647	13.350577	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech IA LaTene	F	2232	Czech Republic	50.17301166666667	14.267123666666668	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Czech IA LaTene	M	2242	Czech Republic	50.196737	14.247871	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5
Czech IA LaTene 1d.rel.I20504 lc	M	2250	Czech Republic	50.054385	14.363387	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech IA LaTene mother.or.daughter.I15039	F	2185	Czech Republic	50.410265	14.074597	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech LBA Knoviz	F	3050	Czech Republic	50.07884	14.280243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Czech LBA Knoviz	M	3000	Czech Republic	50.511285	13.767871	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech LBA Knoviz o3	F	3050	Czech Republic	50.07884	14.280243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Czech LN	F	5526	Czech Republic	50.044984	14.339296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Czech MBA Tumulus	F	3325	Czech Republic	50.533635	13.61765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Czech N	F	6371	Czech Republic	50.121747	14.456951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Czech N	M	7200	Czech Republic	50.080832	14.245241	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Czech N GlobularAmphora	F	4692	Czech Republic	50.351064	13.852118	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech N Rivnac mother.or.daughter.KO1016	F	4761	Czech Republic	50.033343	15.168084	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech N TRB	F	5521	Czech Republic	50.3575	13.743611	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech Vestonice13 lc	M	30800	Czech Republic	48.877778	16.652222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Denmark EarlyViking.SG	M	1100	Denmark	55.87	12.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Denmark LBA.SG	M	2612	Denmark	55.914	11.565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Denmark LN.SG	F	4040	Denmark	56.676	10.034	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Denmark Viking.SG	F	1000	Denmark	54.87	10.72	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Denmark Viking.SG	M	1015	Denmark	55.18285714285714	10.085714285714285	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	7
Denmark Viking lc.SG	F	1000	Denmark	55.5	10.33	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Denmark Zealand Saxon Medieval	F	900	Denmark	55.675268	12.568294	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dominican Andres Archaic	F	3022	Dominican Republic	18.44	-69.64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican Atajadizo Ceramic	F	702	Dominican Republic	18.394444	-68.61	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dominican Atajadizo Ceramic	M	706	Dominican Republic	18.394444	-68.61	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican CuevaJuana Ceramic	F	1249	Dominican Republic	19.24	-69.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican CuevaRoja Archaic	F	1887	Dominican Republic	17.87	-71.65	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican ElFrances Ceramic	M	956	Dominican Republic	19.2	-69.218889	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dominican JuanDolio Ceramic	F	520	Dominican Republic	18.43	-69.41	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dominican JuanDolio Ceramic	M	660	Dominican Republic	18.43	-69.41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
