Iceland Viking.SG	F																	T2b4					
India RoopkundA	M								H13a2a														
India RoopkundB	M											K1a											
Indonesia Kayoa GuaUattamdi N	M					E1a1a1																	
Indonesia LN BA IA.WGC	F						F1a1a																
Iran C TepeHissar	F										J1d								U5b2				
Iran C TepeHissar	M																				W3b		
Iran DinkhaTepe BA IA 2	F																	T2c1c					
Iran GanjDareh N	M										J1												
Iran HajjiFiruz BA noUDG	F									I1b													
Iran Hasanlu IA noUDG	F																	T1a10					
Iran Hasanlu IA noUDG	M								H+195														
Iran ShahrISokhta BA1	F																	T1a3					
Iran ShahrISokhta BA2	M																		U2c1				
Iran ShahrISokhta BA2 contam lc	M								H2a														
Iran ShahrISokhta BA2 lc	F																R						
Ireland EBA.SG	M										J2b1a								U5b2a2				
Ireland EN.SG	M																		U4a2f				
Ireland EN MN.SG	M																		U5b2b				
Ireland Kilteasheen AngloSaxon EMedieval Norman	F								H13a1a4														
Ireland Kilteasheen AngloSaxon EMedieval Norman	M								H3ao,H	I4a								T2b		V10a			
Ireland MN.SG	M																	T2c1d+152					
Ireland Megalithic.SG	M																	T2c1d1					
Ireland Viking.SG	F								H24a														
Israel C	F																	T2e					
Israel C	M											K1a+150					R0						
Israel MLBA	M								H+152,H+16129,HV2a1,HV1b3														
Israel MLBA sister.I10101	F																		U2e1b				
Italy Basilicata Venosa	M										J1c3												
Italy IA Republic.SG	M								H11a														
Italy Imperial.SG	F								H5a1		J1c							T2k	U3b1				
Italy Imperial.SG	M								H2a5														
Italy Imperial o4.SG	M											K1a7											
Italy LA.SG	F								H17														
Italy LA.SG	M								H+195+146,H2a1				L4a2										
Italy LA o1CentralEuropean.SG	M											K1a											
Italy Lazio Viterbo EarlyMedieval	F																					X2n	
Italy Lazio Viterbo Imperial	M																					X1	
Italy Medieval EarlyModern.SG	F																	T2b					
Italy Medieval EarlyModern.SG	M								H4a1,HV0a														
Italy Medieval EarlyModern oCentralEuropean.SG	F											K1a4a1											
Italy Medieval EarlyModern oCentralEuropean.SG	M								H1g1			K1a2a											
Italy Mesolithic.SG	M																		U5b1+16189+@16192				
Italy North Remedello EBA.SG	M										J1c1b												
Italy Ordona Daunian.SG	M									I5a2+16086C													
Italy Ordona Daunian.SG daughter.SAL011.SG	F																		U8b1b1				
Italy Ordona Medieval.SG	F																					X2i	
Italy Salapia Daunian.SG	F											K1a2a											
Italy Sardinia BA Nuragic	M								H3														
Italy Sardinia EBA	F								H1										U5b3				
Italy Sardinia EBA	M											K1a4a1										X2b3	
Italy Sardinia EBA dup.SUC006.SG	M								H1j9														
Italy Sardinia EBA o	F								H1e1a														
Italy Sardinia IA 2	F										J1c2												
Italy Sardinia N	F										J2a1a1,J2b1a								U1a1a				
Italy Sardinia N	M								H4a1a			K1a											
Italy Sardinia N contam	M																R						
Italy Sicily EBA	M								H71			K1a3a											
Italy Sicily LBA	F											K1a,K1a3a											
Italy Sicily MN	F								H1e														
Italy Sicily N Stentinello	M																		U8b1b1				
Italy Tuscany Grosseto Etruscan	F										J1c9							T2b					
Italy Tuscany Grosseto Etruscan	M								H1at1		J1c3												
Italy Tuscany Grosseto Imperial	M								H74														
Italy Tuscany Siena EarlyMedieval	M								HV														
Japan HG Jomon	F														N9b								
Japan Honshu EarlyJomon.SG	M													M7a1 ,M7a 									
Japan Honshu Kofun.SG	F				D5c1a 																		
Japan Shikoku InitialJomon.SG	F														N9b3 								
Jordan PPNC 1d.rel.I1699	F																R0a2						
Kazakhstan Berel IA	F		B5b2a2																				
